						
						
Subnet	Range	Realm	BU	Type	Location	Description
10.27.0.0/16	10.27.0.0 - 10.27.255.255	Conflict	Conflict	Branch-Office	Remote Sites	Careplus centers
10.168.0.0/16	10.168.0.0 - 10.168.255.255	Conflict	Conflict	Branch-Office	Remote Sites	All-In-One Ranges
10.17.0.0/16	10.17.0.0 - 10.17.255.255	CVS	Retail	Branch-Office	Remote Sites	Uplinks for RI Campus User Network
10.21.0.0/16	10.21.0.0 - 10.21.255.255	CVS	Retail	Branch-Office	Remote Sites	1CVS User Networks
10.24.0.0/16	10.24.0.0 - 10.24.255.255	CVS	PBM	Branch-Office	Remote Sites	Richardson TX - Campbell
10.25.0.0/16	10.25.0.0 - 10.25.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites
10.26.0.0/16	10.26.0.0 - 10.26.255.255	CVS	Retail	Branch-Office	Remote Sites	Cumberland 200HCD - User Networks
10.30.0.0/16	10.30.0.0 - 10.30.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites
10.31.0.0/16	10.31.0.0 - 10.31.255.255	CVS	Retail	Branch-Office	Remote Sites	User Networks fro RI Campus
10.32.0.0/16	10.32.0.0 - 10.32.255.255	CVS	PBM	Branch-Office	Remote Sites	Scottsdale AZ Gateway
10.34.0.0/16	10.34.0.0 - 10.34.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Knoxville TN
10.35.0.0/16	10.35.0.0 - 10.35.255.255	CVS	PBM	Branch-Office	Remote Sites	Mail Order - Wilkes Barre PA
10.37.0.0/16	10.37.0.0 - 10.37.255.255	CVS	PBM	Branch-Office	Remote Sites	Vendor - Mattersight
10.38.0.0/16	10.38.0.0 - 10.38.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Specialty - MailOrder
10.39.0.0/16	10.39.0.0 - 10.39.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Specialty
10.48.0.0/16	10.48.0.0 - 10.48.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Coram
10.49.0.0/16	10.49.0.0 - 10.49.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Coram
10.51.0.0/16	10.51.0.0 - 10.51.255.255	CVS	Retail	Branch-Office	Remote Sites	User Networks fro RI Campus
10.58.0.0/16	10.58.0.0 - 10.58.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Coram (MNC)
10.64.0.0/16	10.64.0.0 - 10.64.255.255	CVS	Retail	Branch-Office	Remote Sites	Remote Sites (CNR, ORA) and 1CVS Data Center
10.69.0.0/16	10.69.0.0 - 10.69.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites - Coram
10.71.0.0/16	10.71.0.0 - 10.71.255.255	CVS	PBM	Branch-Office	Remote Sites	PBM Remote Sites
10.75.0.0/16	10.75.0.0 - 10.75.255.255	CVS	PBM	Branch-Office	Remote Sites	Corp - Buffalo Grove IL
10.76.0.0/16	10.76.0.0 - 10.76.255.255	CVS	PBM	Branch-Office	Remote Sites	Mount Prospect
10.81.0.0/16	10.81.0.0 - 10.81.255.255	CVS	PBM	Branch-Office	Remote Sites	Speciality - PA Monroville
10.84.0.0/16	10.84.0.0 - 10.84.255.255	CVS	PBM	Branch-Office	Remote Sites	Pittsburgh PA RIDC2 Office
10.87.0.0/16	10.87.0.0 - 10.87.255.255	CVS	PBM	Branch-Office	Remote Sites	Call Center - Greensboro NC
10.88.0.0/16	10.88.0.0 - 10.88.255.255	CVS	PBM	Branch-Office	Remote Sites	Solon OH MedicareD
10.89.0.0/16	10.89.0.0 - 10.89.255.255	CVS	PBM	Branch-Office	Remote Sites	PA Wilkes Barre - Old Network
10.90.0.0/16	10.90.0.0 - 10.90.255.255	CVS	PBM	Branch-Office	Remote Sites	Specialty - Redlands CA
10.91.0.0/16	10.91.0.0 - 10.91.255.255	CVS	PBM	Branch-Office	Remote Sites	Mail OrderMount Prospect Mail Order
10.95.0.0/16	10.95.0.0 - 10.95.255.255	CVS	PBM	Branch-Office	Remote Sites	Pittsburgh PA Office (PIH)
10.100.0.0/16	10.100.0.0 - 10.100.255.255	CVS	PBM	Branch-Office	Remote Sites	Bloomington MN - Conflict with Omnicare
