10.0.5.0/24 "AZ Shea DC /30 and /32 Loopbacks XConnects "
10.0.5.0/30 "no data"
10.0.5.100/30 "no data"
10.0.5.104/30 "no data"
10.0.5.108/30 "no data"
10.0.5.112/30 "no data"
10.0.5.116/30 "no data"
10.0.5.12/30 "no data"
10.0.5.120/30 "no data"
10.0.5.124/30 "no data"
10.0.5.128/30 "no data"
10.0.5.132/30 "no data"
10.0.5.136/30 "no data"
10.0.5.140/30 "no data"
10.0.5.144/30 "no data"
10.0.5.148/30 "no data"
10.0.5.152/30 "no data"
10.0.5.156/30 "no data"
10.0.5.16/30 "no data"
10.0.5.160/30 "no data"
10.0.5.164/30 "no data"
10.0.5.168/30 "no data"
10.0.5.172/30 "no data"
10.0.5.176/30 ""Woonsocket "
10.0.5.180/31 "rriwscpdis1-prod <-> rriwscpdis2-prod "
10.0.5.184/30 "no data"
10.0.5.188/30 "no data"
10.0.5.192/30 "no data"
10.0.5.196/30 "Reserved New Avaya cluster in RI "
10.0.5.20/30 "no data"
10.0.5.200/30 "Reserved New Avaya cluster in RI "
10.0.5.204/30 "Reserved New Avaya cluster in RI "
10.0.5.208/30 "Reserved New Avaya cluster in RI "
10.0.5.212/30 "Reserved New Avaya cluster in RI "
10.0.5.216/30 "Reserved New Avaya cluster in RI "
10.0.5.220/30 "Reserved New Avaya cluster in RI "
10.0.5.224/30 "Reserved New Avaya cluster in RI "
10.0.5.228/30 "no data"
10.0.5.232/30 "Nexus Dashboard 1CVS ACI fabric L3out "
10.0.5.236/30 "Nexus Dashboard 1CVS ACI fabric L3out "
10.0.5.24/30 "no data"
10.0.5.240/30 "no data"
10.0.5.244/30 "no data"
10.0.5.248/30 "no data"
10.0.5.252/30 "no data"
10.0.5.28/30 "no data"
10.0.5.32/30 "no data"
10.0.5.36/30 "no data"
10.0.5.4/30 "no data"
10.0.5.40/30 "no data"
10.0.5.44/30 "no data"
10.0.5.48/30 "no data"
10.0.5.52/30 "no data"
10.0.5.56/30 "no data"
10.0.5.60/30 "no data"
10.0.5.64/30 "no data"
10.0.5.68/30 "no data"
10.0.5.72/30 "no data"
10.0.5.76/30 "no data"
10.0.5.8/30 "no data"
10.0.5.80/30 "no data"
10.0.5.84/30 "no data"
10.0.5.88/30 "no data"
10.0.5.92/30 "no data"
10.0.5.96/30 "no data"
10.135.0.0/16 "no data"
10.135.101.0/24 "no data"
10.135.114.0/24 "no data"
10.135.116.0/24 "no data"
10.135.120.0/24 "no data"
10.135.122.0/24 "no data"
10.135.124.0/24 "no data"
10.135.183.192/26 "no data"
10.135.184.0/26 "no data"
10.135.184.128/26 "no data"
10.135.185.0/26 "no data"
10.135.211.64/26 "HiraRBO-RTR01 Vlan 2 "
10.135.216.0/26 "no data"
10.135.217.0/26 "no data"
10.135.53.0/24 "IndyDC CVS.COM OTC Segment "
10.136.128.0/17 "10.136.128.0 /17 Meraki Networks "
10.136.254.0/28 "10.136.254.0 /28 ACS / Sungard failover testing "
10.144.0.0/16 "10.144.0.0 /16 Hughes Broadband network "
10.199.12.0/24 "10.199.12.0 /24 Retail /30 "
10.199.12.0/30 "10.199.12.0 /24 Retail /30 "
10.199.12.108/30 "10.199.12.0 /24 Retail /30 "
10.199.12.112/30 "10.199.12.0 /24 Retail /30 "
10.199.12.132/30 "10.199.12.0 /24 Retail /30 "
10.199.12.136/30 "10.199.12.0 /24 Retail /30 "
10.199.12.144/30 "10.199.12.0 /24 Retail /30 "
10.199.12.148/30 "10.199.12.0 /24 Retail /30 "
10.199.12.152/30 "10.199.12.0 /24 Retail /30 "
10.199.12.156/30 "10.199.12.0 /24 Retail /30 "
10.199.12.160/30 "10.199.12.0 /24 Retail /30 "
10.199.12.164/30 "10.199.12.0 /24 Retail /30 "
10.199.12.168/30 "10.199.12.0 /24 Retail /30 "
10.199.12.176/30 "10.199.12.0 /24 Retail /30 "
10.199.12.180/30 "10.199.12.0 /24 Retail /30 "
10.199.12.184/30 "10.199.12.0 /24 Retail /30 "
10.199.12.188/30 "10.199.12.0 /24 Retail /30 "
10.199.12.192/30 "10.199.12.0 /24 Retail /30 "
10.199.12.196/30 "10.199.12.0 /24 Retail /30 "
10.199.12.200/30 "10.199.12.0 /24 Retail /30 "
10.199.12.204/30 "10.199.12.0 /24 Retail /30 "
10.199.12.208/30 "10.199.12.0 /24 Retail /30 "
10.199.12.212/30 "10.199.12.0 /24 Retail /30 "
10.199.12.216/30 "10.199.12.0 /24 Retail /30 "
10.199.12.220/30 "10.199.12.0 /24 Retail /30 "
10.199.12.224/30 "10.199.12.0 /24 Retail /30 "
10.199.12.228/30 "10.199.12.0 /24 Retail /30 "
10.199.12.232/30 "10.199.12.0 /24 Retail /30 "
10.199.12.236/30 "10.199.12.0 /24 Retail /30 "
10.199.12.240/30 "10.199.12.0 /24 Retail /30 "
10.199.12.244/30 "10.199.12.0 /24 Retail /30 "
10.199.12.248/30 "10.199.12.0 /24 Retail /30 "
